Type,Cost,Amount,Coin,Fees,Status,Date,Decode,Exchange
Sell,55.10718057,0.005,BTC,0.05510718,COMPLETED,"January 20, 2018",USDT,Kucoin
Sell,25.63167226,0.00232562,BTC,0.02563167,COMPLETED,"January 20, 2018",USDT,Kucoin
Sell,13.89075679,0.00126034,BTC,0.01389076,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,8.35681,0.00075971,BTC,0.00000076,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,19.20191779,0.00170079,BTC,0.0000017,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,52.64184556,0.00465651,BTC,0.00000466,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,14.33440085,0.00126797,BTC,0.00000127,COMPLETED,"January 20, 2018",USDT,Kucoin
Sell,47.39302401,0.00423152,BTC,0.04739302,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,41.656171,0.288278,NEO,0.00028828,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,5.6836185,0.039333,NEO,0.00003933,COMPLETED,"January 20, 2018",USDT,Kucoin
Buy,0.0059245,0.000041,NEO,0.00000004,COMPLETED,"January 20, 2018",USDT,Kucoin
Sell,0.02178564,0.161975,NEO,0.00002179,COMPLETED,"January 21, 2018",ETH,Kucoin
Buy,0.0217128,43.6,REQ,0.0436,COMPLETED,"January 21, 2018",ETH,Kucoin
Buy,0.00314,2,PRL,0.002,COMPLETED,"January 21, 2018",ETH,Kucoin
Sell,0.00290418,5.9028,REQ,0.0000029,COMPLETED,"January 21, 2018",ETH,Kucoin
Sell,0.00758979,15.4264,REQ,0.00000759,COMPLETED,"January 21, 2018",ETH,Kucoin
Sell,1.92606291,0.015285,NEO,0.00192606,COMPLETED,"January 22, 2018",USDT,Kucoin
Sell,45.59577,0.00414507,BTC,0.04559577,COMPLETED,"January 22, 2018",USDT,Kucoin
Sell,8.86568585,0.070357,NEO,0.00886569,COMPLETED,"January 22, 2018",USDT,Kucoin
Sell,109.7514851,0.110303,ETH,0.10975149,COMPLETED,"January 22, 2018",USDT,Kucoin
Buy,60.33976032,0.00553525,BTC,0.00000554,COMPLETED,"January 22, 2018",USDT,Kucoin
Buy,7.9326812,0.008012,ETH,0.00000801,COMPLETED,"January 22, 2018",USDT,Kucoin
Buy,97.70028691,0.094033,ETH,0.00009403,COMPLETED,"January 22, 2018",USDT,Kucoin
Sell,55.57358439,0.00552971,BTC,0.05557358,COMPLETED,"January 23, 2018",USDT,Kucoin
Buy,55.518056,0.470492,NEO,0.00047049,COMPLETED,"January 23, 2018",USDT,Kucoin
Sell,0.00564025,0.470021,NEO,0.00000564,COMPLETED,"January 24, 2018",BTC,Kucoin
Buy,0.00134224,0.111853,NEO,0.00011185,COMPLETED,"January 26, 2018",BTC,Kucoin
Sell,10.33268309,0.00112936,BTC,0.01033268,COMPLETED,"February 2, 2018",USDT,Kucoin
Sell,10.33268309,0.00112936,BTC,0.01033268,COMPLETED,"February 2, 2018",USDT,Kucoin
Sell,15.84385607,0.00173173,BTC,0.01584386,COMPLETED,"February 2, 2018",USDT,Kucoin
Sell,2.76231111,0.00030192,BTC,0.00276231,COMPLETED,"February 2, 2018",USDT,Kucoin
Buy,25.755664,0.00292678,BTC,0.00000293,COMPLETED,"February 2, 2018",USDT,Kucoin
Buy,13.476672,0.00153144,BTC,0.00000153,COMPLETED,"February 2, 2018",USDT,Kucoin
Sell,0.00205,0.999999,NANO,0.00000205,COMPLETED,"February 3, 2018",BTC,Kucoin
Buy,0.00650171,3.125822,NANO,0.00312582,COMPLETED,"February 3, 2018",BTC,Kucoin
Sell,0.00261856,1.483611,NANO,0.00000262,COMPLETED,"February 4, 2018",BTC,Kucoin
Sell,0.00289297,1.639085,NANO,0.00000289,COMPLETED,"February 4, 2018",BTC,Kucoin
Buy,0.010161,9,PRL,0.009,COMPLETED,"February 10, 2018",ETH,Kucoin
Buy,0.0187501,14.2478,PRL,0.0142478,COMPLETED,"February 10, 2018",ETH,Kucoin
Buy,0.02172611,16.5092,PRL,0.0165092,COMPLETED,"February 10, 2018",ETH,Kucoin
Buy,0.05130584,38.9862,PRL,0.0389862,COMPLETED,"February 10, 2018",ETH,Kucoin
Buy,0.146,1,NEO,0.001,COMPLETED,"February 26, 2018",ETH,Kucoin
Buy,0.014181,32.6,CVC,0.0326,COMPLETED,"February 27, 2018",ETH,Kucoin
Buy,0.01116861,0.641211,NANO,0.00064121,COMPLETED,"March 1, 2018",ETH,Kucoin
Sell,0.00105597,0.006904,NEO,0.00000106,COMPLETED,"March 1, 2018",ETH,Kucoin
Sell,0.01588187,0.103837,NEO,0.00001588,COMPLETED,"March 1, 2018",ETH,Kucoin
